date,CC13_01_Nahrungsmittel_und_alkoholfreie_Getränke,CC13_02_Alkoholische_Getränke_und_Tabakwaren,CC13_03_Bekleidung_und_Schuhe,CC13_04_Wohnung_Wasser_Strom_Gas_und_andere_Brennstoffe,CC13_05_Möbel_Leuchten_Geräte_u.a._Haushaltszubehör,CC13_06_Gesundheit,CC13_07_Verkehr,CC13_08_Post_und_Telekommunikation,CC13_09_Freizeit_Unterhaltung_und_Kultur,CC13_10_Bildungswesen,CC13_11_Gaststätten__und_Beherbergungsdienstleistungen,CC13_12_Andere_Waren_und_Dienstleistungen
1991-01-15,70.0,50.2,83.8,53.5,81.7,59.5,54.3,157.0,80.6,42.2,60.2,59.8
1991-02-15,70.4,50.2,83.9,53.8,81.9,59.7,54.3,157.0,81.9,42.4,61.6,59.9
1991-03-15,70.8,50.3,84.2,53.3,82.2,59.8,54.5,157.0,82.1,42.8,61.1,60.0
1991-04-15,71.2,50.4,84.3,53.5,82.4,59.9,55.1,161.5,80.3,43.7,61.1,60.1
1991-05-15,71.2,50.4,84.6,54.0,82.8,59.9,55.4,161.5,80.7,44.6,62.0,60.1
1991-06-15,71.7,50.4,84.6,54.1,82.9,60.0,55.6,161.5,81.5,44.9,62.8,60.7
1991-07-15,71.9,50.6,84.6,54.4,82.9,60.2,57.8,167.8,82.9,45.2,64.3,61.2
1991-08-15,71.3,50.6,84.9,54.5,83.2,60.5,58.0,167.8,82.2,45.3,64.4,61.2
1991-09-15,70.8,50.6,85.2,54.7,83.4,60.6,58.3,167.8,81.6,45.9,63.1,61.4
1991-10-15,70.8,50.8,85.6,58.4,83.5,60.6,58.3,167.8,80.9,45.9,63.1,61.7
1991-11-15,71.6,52.0,85.9,58.5,83.7,61.2,58.3,167.8,81.7,45.9,62.8,61.9
1991-12-15,71.7,52.0,85.9,58.5,84.0,61.2,58.2,167.8,82.2,45.9,63.0,61.9
1992-01-15,72.4,52.1,86.0,58.7,84.0,61.7,58.2,167.7,83.3,46.3,63.3,62.5
1992-02-15,73.0,52.3,86.2,59.1,84.4,62.0,58.4,167.7,84.7,47.2,64.3,62.9
1992-03-15,72.8,53.0,86.5,59.2,84.6,62.2,59.1,167.7,84.7,47.2,64.1,63.1
1992-04-15,73.2,53.1,86.7,59.4,84.7,62.4,59.7,167.7,84.1,47.7,65.0,63.3
1992-05-15,73.4,53.2,86.9,59.7,85.1,62.4,59.8,167.1,83.8,47.7,65.2,63.5
1992-06-15,73.6,53.4,86.9,59.8,85.1,62.5,60.0,167.1,84.4,47.9,66.0,63.7
1992-07-15,73.1,53.5,87.0,60.0,85.2,62.5,60.0,167.6,85.7,47.9,67.3,63.8
1992-08-15,72.3,53.6,87.2,60.3,85.4,62.7,60.0,167.6,85.4,48.3,67.3,64.0
1992-09-15,71.9,53.6,87.6,60.5,85.5,62.8,60.0,167.6,85.1,49.3,66.1,64.4
1992-10-15,71.8,53.6,87.9,60.6,85.6,62.8,60.0,167.6,84.3,49.7,66.0,65.0
1992-11-15,71.8,53.6,88.2,61.0,85.8,62.8,60.3,167.6,85.1,49.9,65.8,65.4
1992-12-15,71.9,53.7,88.2,61.2,85.8,62.9,60.3,167.6,85.6,49.9,66.2,65.4
1993-01-15,72.5,55.0,88.6,63.9,86.2,63.0,61.3,167.6,85.5,50.7,66.8,66.8
1993-02-15,73.0,55.2,88.9,64.0,86.5,63.7,61.7,167.6,86.8,51.4,67.8,67.0
1993-03-15,73.0,55.2,89.3,64.4,86.7,63.8,62.2,167.6,86.8,51.4,67.7,67.2
1993-04-15,73.3,55.2,89.4,64.4,86.9,63.8,62.4,169.7,85.6,52.3,68.9,67.5
1993-05-15,73.5,55.2,89.6,64.7,87.3,63.9,62.4,169.7,85.7,52.4,68.8,67.8
1993-06-15,73.7,55.2,89.6,64.8,87.3,64.0,62.7,170.1,86.6,52.5,69.8,68.0
1993-07-15,73.2,55.3,89.6,65.0,87.3,64.4,62.9,170.5,87.8,53.0,71.3,68.3
1993-08-15,72.8,55.4,89.6,65.0,87.3,64.5,62.9,170.5,88.2,53.7,71.2,68.4
1993-09-15,72.5,55.5,89.9,65.2,87.4,64.6,62.7,170.6,87.3,55.3,69.7,68.5
1993-10-15,72.5,55.5,90.2,65.6,87.5,64.7,62.8,170.6,86.2,55.6,69.6,68.8
1993-11-15,72.6,55.5,90.4,65.7,87.6,64.7,62.9,170.6,86.8,55.6,69.0,69.1
1993-12-15,72.9,55.5,90.5,65.7,87.7,64.7,62.7,170.6,87.8,55.7,69.1,69.3
1994-01-15,73.1,55.5,90.4,66.6,88.1,66.0,64.2,170.6,86.4,57.0,69.2,70.1
1994-02-15,73.7,55.9,90.5,66.7,88.2,66.1,64.5,170.6,88.2,58.0,70.0,70.3
1994-03-15,73.8,55.9,90.7,66.9,88.4,66.2,64.5,170.6,87.9,58.0,69.8,70.5
1994-04-15,74.2,55.9,90.8,67.2,88.4,66.2,64.6,170.6,86.2,58.0,70.1,70.6
1994-05-15,74.7,55.9,90.8,67.4,88.5,66.2,64.6,170.6,86.7,58.3,70.7,70.6
1994-06-15,74.9,56.0,90.8,67.5,88.6,66.3,64.7,170.6,87.4,58.3,71.2,70.8
1994-07-15,74.8,56.0,90.8,67.6,88.6,66.3,64.7,171.0,88.7,58.3,72.9,71.0
1994-08-15,74.3,56.0,90.8,67.7,88.6,66.4,65.3,171.0,88.8,58.7,72.9,71.1
1994-09-15,74.1,56.0,91.3,67.9,88.8,66.7,64.9,171.0,88.8,59.6,70.7,71.7
1994-10-15,74.2,56.0,91.1,68.0,88.7,66.5,64.6,171.0,87.3,59.6,71.5,71.4
1994-11-15,74.0,56.0,91.3,68.1,88.8,66.6,64.8,171.0,87.9,59.6,70.6,71.7
1994-12-15,74.1,56.0,91.3,68.3,88.8,66.7,64.9,171.0,88.8,59.6,70.7,71.9
1995-01-15,74.9,56.0,91.3,68.5,89.0,66.8,65.2,171.0,87.8,60.4,70.8,72.7
1995-02-15,75.5,56.0,91.3,68.7,89.2,66.9,65.3,171.0,89.3,60.5,71.0,72.8
1995-03-15,75.4,56.0,91.3,68.9,89.3,66.9,65.3,171.0,89.3,60.5,70.9,72.9
1995-04-15,75.5,56.1,91.3,69.3,89.4,66.9,65.8,171.0,87.9,60.6,71.8,73.0
1995-05-15,75.9,56.3,91.5,69.4,89.5,66.9,65.8,169.8,87.1,60.6,71.8,73.1
1995-06-15,75.8,56.4,91.4,69.4,89.6,67.0,66.2,169.8,88.1,60.6,72.2,73.2
1995-07-15,75.3,56.4,91.4,69.4,89.6,67.0,65.8,170.6,90.4,60.8,73.4,73.3
1995-08-15,74.4,56.4,91.4,70.0,89.6,66.8,65.8,170.1,89.6,61.0,73.3,73.4
1995-09-15,74.1,56.4,91.7,70.2,89.6,66.9,66.1,170.1,89.1,61.6,72.1,73.6
1995-10-15,74.0,56.4,91.8,70.2,89.7,67.0,65.9,170.1,88.0,61.8,72.0,73.8
1995-11-15,74.0,56.4,91.9,70.3,89.9,67.0,65.9,169.3,87.9,61.8,71.0,73.8
1995-12-15,74.0,56.4,91.9,70.4,89.9,67.0,66.2,169.3,89.3,61.8,71.1,73.8
1996-01-15,75.0,56.4,91.9,70.4,90.0,68.1,66.7,176.5,87.7,62.0,71.8,73.4
1996-02-15,75.6,56.4,92.0,70.6,90.1,68.2,66.9,176.5,89.4,62.3,72.0,73.6
1996-03-15,76.1,56.5,92.0,70.8,90.1,68.2,67.0,175.2,89.1,62.6,71.8,73.6
1996-04-15,76.3,56.5,92.1,70.9,90.2,68.2,67.3,174.9,87.2,62.7,71.8,73.7
1996-05-15,76.1,56.5,92.1,70.9,90.2,68.2,67.5,174.9,88.1,62.9,72.4,73.7
1996-06-15,76.1,56.5,92.1,70.9,90.2,68.2,67.3,174.9,88.9,62.9,72.9,73.7
1996-07-15,76.1,56.5,92.0,71.2,90.2,68.1,67.3,169.5,90.3,62.9,74.4,73.7
1996-08-15,75.3,56.5,92.1,71.3,90.3,68.1,67.4,169.5,90.5,63.7,74.3,73.7
1996-09-15,74.7,56.5,92.3,71.6,90.3,68.1,67.7,169.5,89.9,64.0,73.0,73.8
1996-10-15,74.4,56.5,92.4,71.9,90.3,68.1,67.7,167.8,88.7,64.0,73.1,73.8
1996-11-15,74.3,57.7,92.5,71.9,90.4,68.1,67.7,166.6,88.3,64.0,72.0,73.8
1996-12-15,74.6,57.7,92.5,72.1,90.4,68.1,67.7,166.6,90.0,64.3,72.3,73.8
1997-01-15,76.0,57.7,92.4,72.8,90.4,69.4,67.9,166.6,90.2,64.7,72.4,74.9
1997-02-15,76.1,57.7,92.4,72.9,90.4,69.3,67.9,166.6,91.9,64.9,73.0,74.9
1997-03-15,75.7,57.7,92.4,72.8,90.4,69.3,68.2,166.5,91.7,65.0,72.7,74.9
1997-04-15,76.3,57.7,92.5,72.9,90.5,69.4,68.1,166.5,89.0,65.1,72.7,75.0
1997-05-15,76.9,57.7,92.5,73.1,90.5,69.3,68.2,166.0,90.2,65.3,73.2,75.0
1997-06-15,77.3,57.8,92.4,73.1,90.5,69.3,68.2,166.0,90.6,65.3,73.6,75.0
1997-07-15,76.9,57.8,92.3,73.1,90.5,76.4,68.9,166.0,92.0,65.5,75.1,75.0
1997-08-15,76.4,57.8,92.3,73.2,90.5,76.4,69.6,165.9,92.4,65.8,74.8,75.0
1997-09-15,76.2,57.9,92.7,73.1,90.5,76.4,69.4,167.6,91.3,66.7,73.6,75.0
1997-10-15,76.1,57.9,92.9,73.3,90.5,76.5,69.3,167.6,90.0,66.7,73.4,75.1
1997-11-15,76.4,57.8,93.0,73.4,90.6,76.5,69.0,167.3,90.5,66.7,72.9,75.1
1997-12-15,76.8,57.9,92.9,73.4,90.6,76.5,69.0,167.3,91.5,66.9,73.2,75.1
1998-01-15,77.6,57.9,92.7,73.5,90.7,76.4,68.6,167.3,90.6,67.5,73.2,75.0
1998-02-15,77.5,57.8,92.7,73.6,90.7,76.5,68.5,167.3,92.4,68.2,73.6,75.0
1998-03-15,77.3,57.9,92.8,73.5,90.8,76.5,68.5,165.3,92.0,68.3,73.3,75.0
1998-04-15,77.6,57.9,93.0,73.8,91.1,76.9,68.9,166.0,89.7,68.2,74.2,75.1
1998-05-15,78.1,59.3,93.0,73.9,91.2,76.9,68.9,166.0,90.6,68.3,74.4,75.2
1998-06-15,78.3,59.3,93.0,73.9,91.3,76.9,69.0,166.5,91.1,68.3,74.6,75.2
1998-07-15,77.6,59.3,92.9,73.9,91.3,76.5,69.3,166.5,92.7,68.4,76.1,75.3
1998-08-15,76.9,59.4,92.8,73.8,91.3,76.6,69.2,166.5,93.0,68.7,76.3,75.4
1998-09-15,76.5,59.4,93.1,73.9,91.3,76.6,69.0,165.3,92.0,69.1,74.6,75.5
1998-10-15,76.1,59.4,93.1,73.8,91.3,76.7,69.0,164.2,91.0,69.3,74.5,75.7
1998-11-15,76.4,59.5,93.4,73.8,91.4,76.9,69.0,164.2,91.2,70.7,74.0,75.7
1998-12-15,76.5,59.4,93.4,73.7,91.4,76.9,68.9,163.7,91.5,70.7,74.3,75.7
1999-01-15,77.2,59.3,93.1,73.9,91.4,74.1,68.7,152.4,91.2,71.0,74.2,76.0
1999-02-15,77.2,59.3,93.1,73.9,91.4,74.0,68.9,151.6,92.6,71.4,74.5,76.2
1999-03-15,77.1,59.3,93.2,74.0,91.4,74.0,69.0,153.2,92.4,71.4,74.5,76.2
1999-04-15,77.3,59.3,93.2,74.7,91.5,74.0,70.4,151.0,90.2,71.4,74.9,76.4
1999-05-15,77.3,59.4,93.3,74.7,91.6,74.0,70.1,150.7,90.6,71.4,75.4,76.6
1999-06-15,76.9,59.3,93.2,74.8,91.6,74.1,70.8,149.2,91.0,71.4,75.6,76.6
1999-07-15,76.2,59.3,93.1,75.0,91.6,74.1,71.2,149.2,93.5,71.5,77.0,76.6
1999-08-15,75.4,59.3,93.0,75.0,91.5,74.2,71.9,149.0,93.0,71.4,77.3,76.6
1999-09-15,75.1,59.3,93.3,75.1,91.5,74.2,71.9,149.0,91.8,71.9,75.5,76.6
1999-10-15,74.9,60.3,93.4,75.0,91.5,74.2,72.3,148.8,90.5,71.9,75.4,76.9
1999-11-15,74.9,60.4,93.6,75.1,91.5,74.2,72.0,148.7,91.7,72.2,74.7,77.0
1999-12-15,75.1,60.3,93.5,75.3,91.5,74.2,72.6,148.7,92.4,72.2,75.2,77.2
2000-01-15,75.7,60.3,93.3,75.6,91.5,74.0,73.3,148.7,91.8,72.4,75.0,77.8
2000-02-15,76.1,60.3,93.1,75.9,91.5,74.0,73.3,142.7,92.5,72.6,75.7,77.9
2000-03-15,75.6,60.3,93.3,76.1,91.6,74.0,74.2,139.1,91.6,72.7,75.4,77.9
2000-04-15,76.0,60.3,93.4,76.2,91.6,74.1,73.6,137.5,91.7,72.7,75.5,78.1
2000-05-15,76.3,60.3,93.3,76.5,91.4,74.2,73.4,134.4,90.7,72.5,75.1,78.2
2000-06-15,76.3,60.3,93.2,76.6,91.4,74.2,75.0,131.3,91.6,72.5,75.8,78.3
2000-07-15,76.0,60.3,93.0,76.8,91.5,74.3,75.1,130.5,93.3,72.5,78.0,78.4
2000-08-15,75.3,60.3,92.7,76.9,91.4,74.3,74.8,128.3,92.5,72.8,77.9,78.6
2000-09-15,75.0,60.4,93.4,77.7,91.5,74.4,75.7,127.8,91.8,73.2,75.4,78.8
2000-10-15,74.9,60.5,93.6,77.7,91.5,74.6,75.0,127.5,90.8,73.2,75.7,79.1
2000-11-15,75.3,61.1,93.7,77.9,91.5,74.6,75.3,127.5,90.4,73.3,75.4,79.1
2000-12-15,75.8,61.1,93.7,77.9,91.5,74.6,74.9,127.5,96.3,73.3,79.0,79.2
2001-01-15,77.0,61.1,93.5,78.1,91.6,74.8,75.0,127.6,91.3,73.5,76.2,80.1
2001-02-15,77.3,61.5,93.3,78.3,91.8,75.0,76.3,127.5,92.6,73.6,76.8,80.3
2001-03-15,78.1,61.6,93.8,78.3,91.9,75.0,76.3,125.5,91.9,73.6,76.4,80.5
2001-04-15,79.2,61.5,94.0,78.5,92.0,75.1,76.9,125.2,91.8,73.5,76.4,80.5
2001-05-15,80.6,61.6,94.2,78.6,92.2,75.2,77.8,125.1,91.3,73.6,76.5,80.7
2001-06-15,80.9,61.7,94.1,78.8,92.3,75.2,77.3,125.0,91.9,73.6,77.5,80.7
2001-07-15,80.5,61.7,93.8,78.8,92.3,75.4,76.7,125.5,93.6,73.7,79.6,80.9
2001-08-15,79.2,61.7,93.5,79.0,92.4,75.4,76.4,125.5,93.2,73.7,79.5,81.0
2001-09-15,79.0,61.7,94.2,79.2,92.5,75.4,76.6,125.5,92.6,74.0,77.2,81.3
2001-10-15,79.1,61.7,94.6,78.9,92.5,75.6,75.8,125.7,91.8,74.0,77.3,81.2
2001-11-15,78.7,61.8,94.9,78.8,92.7,75.6,75.3,125.6,91.6,74.0,77.3,81.3
2001-12-15,79.1,61.8,94.9,78.6,92.8,75.6,75.5,125.6,97.4,74.0,80.9,81.4
2002-01-15,81.4,63.8,94.9,79.1,93.0,75.6,76.3,125.6,92.5,75.0,79.2,82.1
2002-02-15,81.1,63.8,94.7,79.2,93.1,75.7,76.7,127.8,93.7,75.3,79.8,82.1
2002-03-15,80.9,63.8,95.0,79.4,93.2,75.8,77.5,127.6,93.4,75.4,79.6,82.1
2002-04-15,80.8,63.8,95.1,79.4,93.2,75.8,78.3,127.7,91.6,75.4,78.9,82.2
2002-05-15,80.7,63.8,94.9,79.4,93.1,75.9,78.1,128.4,92.7,75.4,79.8,82.3
2002-06-15,80.1,64.0,94.9,79.4,93.1,75.9,78.1,128.5,92.7,75.5,80.6,82.3
2002-07-15,79.6,64.1,94.1,79.4,93.1,75.7,78.2,128.7,94.7,75.5,82.5,82.6
2002-08-15,78.8,64.2,94.0,79.4,93.0,75.9,78.2,128.2,93.9,75.8,82.1,82.6
2002-09-15,78.6,64.2,94.9,79.5,93.1,75.9,78.3,128.2,93.1,76.1,79.8,82.7
2002-10-15,78.3,64.1,95.0,79.6,93.1,75.8,78.6,128.2,92.2,76.3,79.9,82.6
2002-11-15,78.1,64.3,94.9,79.5,93.2,75.9,77.8,127.7,91.5,76.3,79.9,82.6
2002-12-15,78.3,64.3,94.5,79.6,93.2,75.9,78.1,127.9,97.1,76.3,83.5,82.6
2003-01-15,79.1,66.9,93.7,80.3,93.3,75.9,79.4,127.6,92.0,76.4,80.2,83.3
2003-02-15,79.6,67.3,94.2,80.5,93.4,76.0,80.0,128.2,93.3,76.4,80.6,83.4
2003-03-15,79.8,67.3,94.8,80.7,93.4,76.0,80.0,128.2,92.7,77.0,80.1,83.4
2003-04-15,80.0,67.3,94.5,80.5,93.5,75.9,79.5,128.5,92.4,77.1,80.3,83.5
2003-05-15,80.1,67.3,94.2,80.5,93.5,75.9,78.8,128.5,91.6,77.2,80.1,83.7
2003-06-15,80.3,67.4,93.8,80.5,93.5,75.9,79.3,128.5,92.3,77.2,80.9,83.7
2003-07-15,79.8,67.5,92.9,80.5,93.5,76.0,79.5,128.4,93.4,77.7,82.9,83.7
2003-08-15,79.0,67.5,92.5,80.6,93.4,76.1,80.0,128.3,93.9,77.5,82.9,83.8
2003-09-15,79.4,67.6,94.4,80.6,93.4,76.1,79.6,130.1,92.8,77.7,80.7,84.2
2003-10-15,79.4,67.6,94.6,80.8,93.4,76.2,79.5,130.1,91.5,77.8,80.7,84.3
2003-11-15,79.3,67.6,94.6,80.9,93.3,76.3,79.3,129.6,90.8,77.9,80.1,84.3
2003-12-15,79.4,67.6,94.0,80.9,93.3,76.4,79.4,128.8,95.9,77.9,83.8,84.3
2004-01-15,80.1,67.5,93.1,81.2,93.3,88.7,79.8,128.7,90.5,79.1,80.6,84.6
2004-02-15,79.8,67.6,92.9,81.2,93.0,88.7,80.0,128.5,92.2,79.3,81.0,84.9
2004-03-15,79.8,72.4,94.1,81.4,93.1,88.7,80.2,128.6,91.4,79.3,80.7,84.9
2004-04-15,79.8,72.4,94.1,81.5,93.1,90.7,81.2,128.2,91.2,79.3,80.8,84.9
2004-05-15,79.9,72.4,93.7,81.7,93.0,90.7,82.0,127.7,90.9,79.3,80.9,85.0
2004-06-15,80.1,72.4,93.4,81.7,93.4,90.7,81.6,127.5,91.3,79.3,81.7,85.0
2004-07-15,79.7,72.4,92.0,81.8,93.4,91.5,82.0,127.5,92.5,79.7,83.4,85.1
2004-08-15,78.9,72.5,92.3,82.0,93.3,91.6,82.5,127.3,93.3,79.8,83.4,85.1
2004-09-15,78.4,72.5,93.4,82.1,93.2,91.6,81.9,127.1,91.6,80.5,81.3,85.2
2004-10-15,78.3,72.5,93.6,82.6,93.1,91.7,82.8,127.1,91.1,80.8,81.2,84.8
2004-11-15,78.3,72.5,93.8,82.4,93.0,91.8,81.8,126.8,90.1,80.8,80.8,85.0
2004-12-15,79.0,77.3,93.3,82.4,93.0,91.8,81.1,126.6,96.2,80.8,85.1,85.0
2005-01-15,79.2,77.3,91.2,82.8,93.0,92.2,82.0,127.2,90.2,80.8,80.9,85.5
