CHART_ID,SONG_ID,POSITION,STREAMS
regional-de-weekly-2021-11-25,2uFaJJtFpPDc5Pa95XzTvg,181.0,433342
regional-id-weekly-2021-12-23,3dbLT62Cvs46Ju7a8gpr36,105.0,368555
regional-pe-weekly-2021-12-23,35UUpTmrcFXNIVIN26ujXl,190.0,98040
regional-pl-weekly-2021-12-23,0247StOpd3AkeBQzANX4Zf,40.0,560117
regional-bo-weekly-2021-12-23,5aCWQczUqiGCw3cvNp5OV0,66.0,29812
regional-jp-weekly-2021-12-23,4a9tbd947vo9K8Vti9JwcI,104.0,276748
regional-gb-weekly-2021-12-23,4fzyvSu73BhGvi96p2zwjL,45.0,1300548
regional-de-weekly-2021-07-01,2tGvwE8GcFKwNdAXMnlbfl,146.0,469669
regional-de-weekly-2021-03-18,7qEHsqek33rTcFNT9PFqLf,107.0,559295
regional-de-weekly-2021-04-29,3RcXFW8aiRYHRaDDYBqJ76,29.0,1169805
regional-ar-weekly-2021-12-23,704LUEih663hiE3CnyUrFW,69.0,509686
regional-eg-weekly-2021-12-23,3qRGs7H1bPfshHh19syRKQ,117.0,17384
regional-jp-weekly-2021-12-23,6H0PLsSYMzDOqhLgyOlzIj,73.0,359897
regional-de-weekly-2021-07-08,25ERGFwjI1BUph1oqqTb6O,175.0,435729
regional-de-weekly-2021-04-01,3eekarcy7kvN4yt5ZFzltW,181.0,438680
regional-id-weekly-2021-12-23,01beCqR9wsVnwzkAJZyTqq,94.0,403982
regional-eg-weekly-2021-12-23,1r9xUipOqoNwggBpENDsvJ,6.0,71170
regional-de-weekly-2021-11-04,4ERJuguYFENulgTPXL3rXb,38.0,1112047
regional-ro-weekly-2021-12-23,2c2PXzNY3eTIxkvnXbH8Hl,44.0,40403
regional-de-weekly-2021-07-01,3HqQpSTLHJRKDhulVacRFb,84.0,686257
regional-cy-weekly-2021-12-23,3yfqSUWxFvZELEM4PmlwIR,156.0,3669
regional-tr-weekly-2021-12-23,1riBwVUqVsk5RGJ9iLN8cG,27.0,829277
regional-de-weekly-2021-02-18,5zPT86unoFaNP2J348n1p0,45.0,897621
regional-de-weekly-2021-09-09,4txsSBdT4yVJtUj41YaQEB,59.0,840619
regional-de-weekly-2021-10-14,1SOClUWhOi8vHZYMz3GluK,48.0,987206
regional-pa-weekly-2021-12-23,3qCeq0rWK67SoBDgFd2sId,197.0,12764
regional-kr-weekly-2021-12-23,4LxFRsy3TZjqAtAgIsjkez,90.0,15651
regional-ie-weekly-2021-12-23,0YORgvqP1MotwCnDZzOwII,86.0,89683
regional-de-weekly-2021-08-05,5XsAal7ZcWg1I5T4NcRjkv,200.0,385041
regional-de-weekly-2021-11-25,2dWNKXTs5z7Iu1g0kYh4Xe,106.0,635079
regional-do-weekly-2021-12-23,0G2zPzWqVjR68iNPmx2TBe,5.0,89801
regional-ni-weekly-2021-12-23,4nbWX2HzrOEnX4xxvYRCyU,124.0,9954
regional-at-weekly-2021-12-23,2USlegnFJLrVLpoVfPimKB,94.0,67443
regional-ar-weekly-2021-12-23,5Z9KJZvQzH6PFmb8SNkxuk,107.0,359930
regional-de-weekly-2021-02-04,4i2qxFEVVUi8yOYoxB8TCX,173.0,409704
regional-at-weekly-2021-12-23,4jPy3l0RUwlUI9T5XHBW2m,167.0,47501
regional-de-weekly-2021-02-04,3JtIS5WNPJokeMeEVnWWEM,54.0,740220
regional-de-weekly-2021-04-15,1KixkQVDUHggZMU9dUobgm,54.0,915463
regional-pt-weekly-2021-12-23,2QjOHCTQ1Jl3zawyYOpxh6,52.0,83806
regional-de-weekly-2021-01-07,7ytR5pFWmSjzHJIeQkgog4,34.0,939335
regional-nz-weekly-2021-12-23,1mH6tZC6iXIHPI6EixCwxw,66.0,99160
regional-de-weekly-2021-12-09,2TE4xW3ImvpltVU0cPcKUn,8.0,2387446
regional-lt-weekly-2021-12-23,1Qi2wh8fFgDV7tl4Sj3f2K,73.0,14202
regional-de-weekly-2021-12-16,4VIyBZioj5khxauaZJexks,120.0,629909
regional-is-weekly-2021-12-23,6sBWmE23q6xQHlnEZ8jYPT,95.0,13395
regional-za-weekly-2021-12-23,4zFtUFGQ7NG6iEM2K5Oca4,86.0,36930
regional-vn-weekly-2021-12-23,6bXmKNVe9YIjoyDbz04nWg,39.0,92587
regional-ro-weekly-2021-12-23,7d4RyD7PlTRY4spQM5CP5t,59.0,36578
regional-fi-weekly-2021-12-23,0MtR1vbS7UeJa0jvXGCwmY,146.0,55131
regional-ma-weekly-2021-12-23,2MF33zeXjLsKxlK75hDtDl,73.0,22557
regional-de-weekly-2021-03-11,4UOXo3xWnxYdTf3sFyRaUG,189.0,407133
regional-de-weekly-2021-10-28,1f3yAtsJtY87CTmM8RLnxf,191.0,378974
regional-bo-weekly-2021-12-23,7hynhxDoDpgMIV12JuVtNa,100.0,23913
regional-sk-weekly-2021-12-23,4GlbRt9MEKimoj1zZrdAWb,17.0,100981
regional-ni-weekly-2021-12-23,6D2TCm4nf5nxAcdGJ7w3QP,25.0,20700
regional-dk-weekly-2021-12-23,5JpI77kH18RMNM0WmPtx99,128.0,100805
regional-co-weekly-2021-12-23,6j5LtifAnuTjTYvml61yFZ,76.0,151330
regional-ma-weekly-2021-12-23,6cyYD58m4zLDzEWld7sxHC,101.0,20018
regional-lu-weekly-2021-12-23,6Dy1jexKYriXAVG6evyUTJ,104.0,4691
regional-de-weekly-2021-01-07,45bE4HXI0AwGZXfZtMp8JR,26.0,1066592
