song_id,artist_name,song_name,genre,duration_ms,explicit,danceability,loudness,speechiness,acousticness,instrumentalness,valence
00mBzIWv5gHOYxwuEJXjOG,December Avenue,Sa Ngalan Ng Pag-Ibig,pop,285138.0,False,0.518,-3.907,0.030500000000000003,0.08510000000000001,0.0,0.271
00tnXAltVLyIWok9sCWdjL,Dani Mocanu,Afaceri Ilegale,other,176248.0,False,0.588,-4.68,0.357,0.4,0.0,0.425
00x2d2mKSaUrCNTNxH7CYN,Sigma,ALYX,other,167619.0,True,0.495,-10.033,0.369,0.28,0.0,0.368
011Xn3Wqii67s4aaPgheiu,Marteria,"Love, Peace & Happiness",rap,213701.0,False,0.845,-7.397,0.147,0.304,2.07e-05,0.377
014DA3BdnmD3kI5pBogH7c,Chillies,Cứ Chill Thôi,indie,270000.0,False,0.781,-8.452,0.0408,0.217,3.63e-05,0.609
017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,pop,221820.0,False,0.73,-3.434,0.0884,0.167,1.39e-06,0.467
017kkqYLjapufRjL8K7bCG,Stormy,Omri Ana,other,161000.0,False,0.766,-11.939,0.0465,0.165,7.52e-06,0.157
0185OsYNsynw4Z9bxgBB2G,Svanhildur Jakobsdóttir,"Jólin, jólin",other,145357.0,False,0.465,-14.801,0.0886,0.748,0.0,0.717
01AnaOESGIDMJiTXrvAY1M,Daria,Paranoia,electronic,165645.0,False,0.861,-5.087,0.0362,0.28200000000000003,0.00796,0.9460000000000001
01CJo2bZ28t0rtcWxmfGfw,NORDO,3arbouch,other,184468.0,False,0.716,-6.157,0.1,0.358,0.0216,0.23900000000000002
01I8aPBUJIMzCtHsCVvmq5,Luciano,SUVs,other,162027.0,False,0.8150000000000001,-8.742,0.34,0.327,0.0,0.628
01K4zKU104LyJ8gMb7227B,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),pop,258813.0,False,0.606,-9.455,0.0275,0.8170000000000001,0.0,0.446
01Y0KGT7VzixtLyOj44x56,SNIK,Millionaire,electronic,155293.0,True,0.881,-3.07,0.163,0.382,0.000102,0.545
01bJvYGLn1xMA32TasmOkb,Elai Botner,עוד אחד ששר לך,other,226002.0,False,0.677,-7.914,0.0756,0.00978,0.0,0.864
01beCqR9wsVnwzkAJZyTqq,Pamungkas,I Love You but I'm Letting Go,indie,220163.0,False,0.393,-9.116,0.0303,0.972,2.94e-05,0.131
01eo8yhZDkzYuog8FzYzgV,ABS-CBN Music All Star,Star ng Pasko,other,267080.0,False,0.559,-8.498,0.029300000000000003,0.28300000000000003,0.0,0.186
01fQ3xuWfYAHmUIiFC1JVP,Hanna Ferm,Flyg Fula Fluga Flyg,pop,159375.0,False,0.749,-6.77,0.0413,0.006070000000000001,0.0,0.737
01hEpx8jnOG4q7nDK14Rhi,sangiovanni,malibu,pop,166216.0,False,0.733,-5.123,0.111,0.028,0.0,0.669
01ksPzu3Bw8Lsf9o6xIk8C,Banda Los Recoditos,Mi Último Deseo,other,163560.0,False,0.844,-4.461,0.0437,0.62,0.0,0.974
01mH7HUE0ThKRbyYOuva56,莫宰羊,未接來電,other,238006.0,False,0.837,-4.494,0.0568,0.5710000000000001,0.0,0.8200000000000001
01sSuyz41are2mulkplUhm,Apache 207,An der Uhr gedreht,hip hop,181895.0,False,0.5720000000000001,-5.475,0.10400000000000001,0.0811,2.33e-05,0.299
021Ja91kIji3tI8qguxer6,Daniel Adams-Ray,Gråt inte mer,pop,208917.0,False,0.38,-10.602,0.06,0.785,0.0,0.353
0247StOpd3AkeBQzANX4Zf,Band Aid,Do They Know It's Christmas? - 1984 Version,pop,222533.0,False,0.599,-6.936,0.0363,0.164,3.3299999999999996e-05,0.34900000000000003
028MkfDdEe6uyIkuJVj0cb,El Alfa,Acuetate,reggaeton,248000.0,False,0.902,-0.981,0.108,0.125,0.00193,0.769
02CdOh37OAq88RNK1WL8TD,Beton.Hofi,OFFWHITE,rap,244963.0,True,0.774,-8.781,0.0816,0.037,1.43e-06,0.231
02FaKXXL7KUtRc7K0k54tL,Katy Perry,Cozy Little Christmas,pop,182521.0,False,0.774,-6.264,0.128,0.128,0.0,0.56
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,electronic,238805.0,False,0.761,-6.9,0.0944,0.44,6.699999999999999e-06,0.531
02dRkCEc8Q5ch4TTcnLxOn,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),pop,217099.0,False,0.601,-5.844,0.0671,0.00987,1.3600000000000001e-06,0.244
02rdXe0KhMe8p6ZHzYtuw0,Baby Keem,lost souls (with Brent Faiyaz),rap,269728.0,True,0.649,-7.67,0.404,0.485,3.24e-05,0.176
02y8kYqCkzAxVqLEsnIXNS,Ali471,Regen,other,156828.0,False,0.759,-4.684,0.0719,0.13,0.0,0.862
030mot3ZKR3oskfMsqDB2R,Judy Garland,Have Yourself A Merry Little Christmas,other,162333.0,False,0.156,-14.82,0.0393,0.97,0.004580000000000001,0.107
031jyNUkkD02vrkgZDGJxu,Hoang Thuy Linh,Em Day Chang Phai Thuy Kieu,pop,214500.0,False,0.666,-8.214,0.0504,0.681,0.00436,0.683
